"id","type_id","division_id","label","description","start_date","end_date","add_user_id","add_date","is_active","is_allow_lead_modification"
"1","1","","Direct Contact","","2019-11-1","0000-0-0","329331456","0000-0-0 00:00:00","0","1"
"2","16","","Company Website","","2020-1-1","2020-11-12","329331456","0000-0-0 00:00:00","1","0"
"3","9","","Site Advertising","","2019-11-1","2999-12-29","180655464","","0","0"
"4","6","","Flyer","","2019-11-1","2020-12-6","329331456","0000-0-0 00:00:00","0","0"
"5","7","","Angi Ads","formerly angie's list","2019-11-1","0000-0-0","329331456","0000-0-0 00:00:00","1","0"
"6","16","","Meta Facebook","","2019-11-1","0000-0-0","329331456","0000-0-0 00:00:00","1","0"
"7","16","","Google Ads","","2019-11-1","2020-12-6","329331456","0000-0-0 00:00:00","0","0"
"8","16","","Google My Business","","2019-11-1","2020-12-6","329331456","0000-0-0 00:00:00","1","0"
"9","16","","Google Organic","","2019-11-1","2020-12-6","329331456","0000-0-0 00:00:00","0","0"
"10","19","","Home Advisor","","2020-11-1","0000-0-0","329331456","0000-0-0 00:00:00","0","0"
"11","7","","Next Door","","2019-11-1","0000-0-0","329331456","0000-0-0 00:00:00","0","0"
"12","16","","Yelp","","2019-11-1","0000-0-0","329331456","0000-0-0 00:00:00","1","0"
"13","8","","Referral From Customer","","2019-11-1","2020-12-6","329331456","0000-0-0 00:00:00","1","0"
"14","8","","Referral From Crew","","2019-11-1","0000-0-0","329331456","0000-0-0 00:00:00","1","0"
"15","9","","Job Site Marketing","","2019-11-1","2999-12-29","180655464","","1","0"
"16","9","","BNI","","2019-11-1","2020-12-6","329331456","0000-0-0 00:00:00","1","0"
"17","9","","Networking","","2019-11-1","2020-12-6","329331456","0000-0-0 00:00:00","1","0"
"18","9","","Other","This source (ID 18) is used by GENIUS as a catch all to receive leads where the source can't be found. This source should not be removed or changed to something else. --Coach","2019-11-1","2999-12-31","329331456","0000-0-0 00:00:00","1","0"
